symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,992f4abc-3224-4e8e-b5fd-297c438f88ab,600000,8/10/26 15:13,8/10/26 15:23,SELL,1,50,-0.009981692,,7785.625,7783.125,7785.625,-125,-125,1,0.032121,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,04ab1f2f-7481-4ac4-a144-f28077f49b65,600000,8/10/26 15:31,8/10/26 15:41,SELL,1,50,-0.002261688,,7781.375,7782.875,7781.375,75,75,1,0.019273,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,c5ee6a7f-590c-49ba-b61a-d938f74b3241,600000,8/10/26 15:52,8/10/26 16:02,BUY,1,50,0.002812766,,7789.125,7787.625,7789.125,75,75,1,0.019261,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,6f17e101-a7f8-4a8d-856d-d3a55643ca6c,600000,8/10/26 16:41,8/10/26 16:51,SELL,1,50,-0.006443028,,7770.125,7769.625,7770.125,-25,-25,1,0.006435,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,cffac9b0-9156-4ab6-9038-af9fd7756852,600000,8/10/26 16:43,8/10/26 16:53,SELL,1,50,-0.004329822,,7769.875,7767.625,7769.875,-112.5,-112.5,1,0.028966,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,2b399a6d-3f9d-496b-9198-b73ba17fa45e,600000,8/10/26 16:58,8/10/26 17:08,BUY,1,50,-0.000654226,,7774.625,7775.125,7774.625,-25,-25,1,0.006431,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,93c7b8aa-d626-4ecd-b98a-8f47cbe8e42d,600000,8/10/26 17:01,8/10/26 17:11,BUY,1,50,0.00300823,,7776.375,7776.875,7776.375,-25,-25,1,0.006429,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,e7b63585-7681-4f4e-8634-01e0da98a748,600000,8/10/26 17:06,8/10/26 17:16,BUY,1,50,-0.003121693,,7778.375,7774.125,7778.375,212.5,212.5,1,0.054669,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,b5395be2-dd3e-434b-9a28-67497bb98b5a,600000,8/10/26 17:14,8/10/26 17:24,BUY,1,50,0.002667973,,7777.625,7777.625,7777.625,0,0,1,0,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,5f8e3bfe-71c9-4fc2-8b3f-2397cfe7325e,600000,8/10/26 17:20,8/10/26 17:30,BUY,1,50,0.002815343,,7777.875,7778.375,7777.875,-25,-25,1,0.006428,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,800013dd-75e9-4168-9985-d7171dbaee20,600000,8/10/26 17:43,8/10/26 17:53,SELL,1,50,-0.004209494,,7772.375,7774.125,7772.375,87.5,87.5,1,0.022511,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,3b441a96-f69d-47e4-90de-22d1438a6784,600000,8/10/26 17:51,8/10/26 18:01,SELL,1,50,-0.002612675,,7774.375,7771.625,7774.375,-137.5,-137.5,1,0.035385,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,8c19c5b9-8a15-403e-b10e-41653d9c36c4,600000,8/10/26 18:18,8/10/26 18:28,SELL,1,50,0.000472592,,7772.125,7772.875,7772.125,37.5,37.5,1,0.009649,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,8d230444-81d7-4a4e-996e-a025219b2aaf,600000,8/10/26 18:30,8/10/26 18:40,SELL,1,50,-0.003693154,,7771.875,7770.125,7771.875,-87.5,-87.5,1,0.022522,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,164fa599-84eb-473d-bac3-cf75aeba3f3c,600000,8/10/26 18:43,8/10/26 18:53,BUY,1,50,0.003188561,,7776.625,7774.875,7776.625,87.5,87.5,1,0.022508,1,0,1,PASS,
