id,orderId,contractId,timestamp,tradeDate,action,qty,price,active,finallyPaired,external
543188587768,543188587765,3570926,2026-06-26 18:08:30.288000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7435.0,True,0,False
543188587777,543188587774,3570926,2026-06-26 18:09:20.603000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7436.25,True,0,False
543188587788,543188587785,3570926,2026-06-26 18:13:42.255000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7433.75,True,0,False
543188587797,543188587794,3570926,2026-06-26 18:14:51.431000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7433.25,True,0,False
543188587808,543188587805,3570926,2026-06-26 18:18:42.989000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7428.5,True,0,False
543188587819,543188587816,3570926,2026-06-26 18:24:15.132000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7427.75,True,0,False
543188587828,543188587825,3570926,2026-06-26 18:26:45.414000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7427.25,True,0,False
543188587839,543188587836,3570926,2026-06-26 18:29:46.409000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7423.0,True,0,False
543188587848,543188587845,3570926,2026-06-26 18:34:47.555000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7427.5,True,0,False
543188587859,543188587856,3570926,2026-06-26 18:40:00.462000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7422.0,True,0,False
543188587868,543188587865,3570926,2026-06-26 18:43:49.762000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7422.25,True,0,False
543188587879,543188587876,3570926,2026-06-26 18:45:10.296000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7418.5,True,0,False
543188587888,543188587885,3570926,2026-06-26 18:48:50.504000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7410.75,True,0,False
543188587899,543188587896,3570926,2026-06-26 18:50:30.408000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7410.25,True,0,False
543188587908,543188587905,3570926,2026-06-26 18:55:34.106000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7410.75,True,0,False
543188587919,543188587916,3570926,2026-06-26 19:01:25.023000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7410.25,True,0,False
543188587928,543188587925,3570926,2026-06-26 19:04:46.521000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7408.5,True,0,False
543188587939,543188587936,3570926,2026-06-26 19:07:37.175000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7411.25,True,0,False
543188587948,543188587945,3570926,2026-06-26 19:13:19.624000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7416.25,True,0,False
543188587957,543188587954,3570926,2026-06-26 19:15:09.465000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7420.25,True,0,False
543188587968,543188587965,3570926,2026-06-26 19:18:40.469000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7421.25,True,0,False
543188587977,543188587974,3570926,2026-06-26 19:20:30.780000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7420.0,True,0,False
543188587988,543188587985,3570926,2026-06-26 19:23:42.558000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7413.25,True,0,False
543188587997,543188587994,3570926,2026-06-26 19:30:03.829000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7414.0,True,0,False
543188588008,543188588005,3570926,2026-06-26 19:31:22.688000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7413.5,True,0,False
543188588019,543188588016,3570926,2026-06-26 19:35:14.355000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7420.25,True,0,False
543188588028,543188588025,3570926,2026-06-26 19:42:07.585000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7417.5,True,0,False
543188588037,543188588034,3570926,2026-06-26 19:47:19.692000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Sell,1,7429.25,True,0,False
543188588046,543188588043,3570926,2026-06-26 19:50:19.850000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7424.75,True,0,False
543188588057,543188588054,3570926,2026-06-26 19:50:20.467000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7424.5,True,0,False
543188588068,543188588065,3570926,2026-06-26 19:50:21.103000+00:00,"{'year': 2026, 'month': 6, 'day': 26}",Buy,1,7424.5,True,0,False
